Snr;WallId;WeekNr;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
1;144529471293;2016-33;65;43;327;55;96;108;15;3;16;7;327;43;0;17;43;22;96;96;373;3;42;327;94;26;12
2;144529471293;2016-34;673;325;9644;770;140;322;64;7;32;19;9643;310;2;17;311;33;140;121;9926;10;300;9644;85;120;51
3;144529471293;2016-35;293;964;13613;1096;275;470;50;11;25;12;15027;953;0;26;952;392;275;269;14210;14;868;13443;219;197;42
4;144529471293;2016-36;228;442;4960;251;358;433;255;10;25;19;5075;436;8;34;436;50;350;357;5226;20;385;4854;232;150;136
5;144529471293;2016-37;207;176;4828;127;195;191;32;10;16;14;4712;152;0;14;179;301;195;185;4900;12;153;4817;170;68;27
6;144529471293;2016-38;186;1917;38474;4214;578;709;817;9;12;31;38516;1913;0;18;1914;29;578;513;40228;9;1831;38451;458;450;367
7;144529471293;2016-39;310;350;7140;541;142;325;100;9;13;24;7134;688;25;38;349;277;132;142;7434;10;315;7091;123;122;73
8;144529471293;2016-40;320;440;22283;921;1402;402;66;7;15;8;22283;526;5;18;526;2707;1402;1402;20791;10;422;22283;1339;171;45
9;144529471293;2016-41;556;471;14420;768;332;352;217;8;20;9;14420;491;45;37;491;259;310;331;14721;12;443;14399;244;162;101
10;144529471293;2016-42;206;329;13293;234;323;710;77;8;19;8;13293;323;32;17;324;1076;323;322;5446;8;314;13282;318;450;52
11;144529471293;2016-43;220;2602;37625;7923;833;1336;78;7;18;6;37625;2602;0;24;2601;522;833;827;40273;7;2529;37625;798;856;63
12;144529471293;2016-44;61;25;758;6;56;100;50;3;8;2;658;120;0;7;20;165;56;56;178;8;21;755;56;65;37
